Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4llK75pXNWZz6KAho2Gp16,"She Will Be Loved - Radio Mix","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,259453,84,false,,2025-04-18T18:39:29Z,"pop","Interscope Records*",0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102,4
spotify:track:13xat1EnT2bwDZBtUcGchE,"Lost My Breath","Lost My Breath","Unclekamo",2024-11-06,160000,35,true,,2025-04-13T21:38:38Z,"","Unclekamo",0.698,0.763,5,-8.054,0,0.085,0.24,0.00579,0.0677,0.808,143.888,4
spotify:track:22sS7JkzeVeq4vOPCB6Fbj,"Someone New","Hozier","Hozier",2014-09-19,222813,73,false,,2025-04-13T13:40:04Z,"","Universal-Island Records Ltd.",0.44,0.54,7,-5.946,1,0.0522,0.407,0.00000226,0.287,0.587,184.123,4
spotify:track:3SAga35lAPYdjj3qyfEsCF,"Feel It (From “Invincible”)","Feel It (From “Invincible”)","d4vd",2024-03-28,157974,84,false,,2025-04-12T14:13:31Z,"","Darkroom/Interscope Records",0.565,0.593,8,-5.864,1,0.0883,0.0288,0,0.215,0.429,120.509,4
spotify:track:6nHfOWaRuClaybogUR6Vt1,"Chantilly","Chantilly","NO CIGAR",2024-11-29,213459,40,true,,2025-04-10T22:36:22Z,"surf rock","NO CIGAR",0.6,0.554,9,-6.59,1,0.0336,0.00567,0.000492,0.473,0.765,94.018,4
spotify:track:0DiWol3AO6WpXZgp0goxAV,"One More Time","Discovery","Daft Punk",2001-03-12,320357,79,false,,2025-04-06T12:00:55Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,4
spotify:track:2bJvI42r8EF3wxjOuDav4r,"Time of Our Lives","Globalization","Pitbull,Ne-Yo",2014-11-24,229360,85,true,,2025-04-05T13:18:00Z,"","Mr.305/Polo Grounds Music/RCA Records",0.721,0.802,1,-5.797,1,0.0583,0.0921,0,0.694,0.724,124.022,4
spotify:track:6Bhu0aFLMwCkLU3AotmRxN,"Home Isn't Home Anymore","Space Weather EP","Space Weather",2018-10-05,277765,16,false,,2025-03-31T20:04:49Z,"post-hardcore,math rock,mathcore","Space Weather",0.311,0.941,6,-4.47,1,0.111,0.0646,0.000225,0.0971,0.352,166.981,4
spotify:track:6WyidtfBCocffRx2VTo1Pk,"Dabbington City","Dabbington City","NXCRE,The Villains",2023-11-17,244342,42,false,,2025-03-30T13:30:08Z,"","Fean Records",0.395,0.872,1,-3.833,0,0.0356,0.0000564,0.0701,0.118,0.268,150.036,4
spotify:track:4MiNMljJECJzo6XJbwYuJ5,"Memories","Memories","Dreamwake",2024-01-23,281250,38,false,,2025-03-25T09:19:24Z,"metalcore,djent","Unsigned",0.378,0.922,0,-5.542,0,0.143,0.0000654,0.00136,0.189,0.226,164.058,4
spotify:track:7iHIbOhn3N0AZF5Tky6DhM,"Careless","Careless","Dusky",2013-09-30,391685,48,false,,2025-03-22T02:26:01Z,"deep house,house","Aus Music",0.77,0.894,7,-8.102,0,0.0487,0.000197,0.898,0.0455,0.683,120.986,4
spotify:track:6w7Jb4kTmOPkoewZgk40gY,"Say My Name","Say My Name","NOVELISTS",2025-03-20,248683,40,false,,2025-03-21T09:40:33Z,"djent,metalcore,progressive metal,post-hardcore,metal","ACKOR Music",0.413,0.907,2,-6.176,1,0.0778,0.00107,0.483,0.787,0.226,160.025,4
spotify:track:6a8F171VJyb8Xb7P8vYb7D,"À Travers Le Miroir","Noir","NOVELISTS",2017-09-08,283049,21,false,,2025-03-20T13:43:45Z,"djent,metalcore,progressive metal,post-hardcore,metal","Arising Empire",0.466,0.715,4,-8.096,0,0.0348,0.192,0.732,0.101,0.242,79.985,4
spotify:track:5TWhkBxH1XiAtECTutFNXo,"Monochrome","Noir","NOVELISTS,Heinrich Maneuver",2017-09-08,313560,26,false,,2025-03-20T13:36:52Z,"djent,metalcore,progressive metal,post-hardcore,metal","Arising Empire",0.379,0.668,1,-6.444,0,0.0327,0.0522,0.124,0.116,0.127,146.941,4
spotify:track:5G2f63n7IPVPPjfNIGih7Q,"Taste","Short n' Sweet","Sabrina Carpenter",2024-08-23,157279,87,false,,2025-03-15T20:06:27Z,"","Island Records",0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
spotify:track:4fvneyc3bVlvzUuvKU6MpM,"Weather","Weather","Freddie Dredd",2019-09-11,111281,57,true,,2025-03-15T19:24:37Z,"phonk","Doomshop Records",0.752,0.87,1,-4.267,0,0.182,0.0229,0.00000228,0.0996,0.761,160.128,4
spotify:track:0w5j5FNxKr1BVQ6LWRKCLt,"sunkiss","sunkiss","Raiun",2024-03-13,88026,46,false,,2025-03-13T21:29:20Z,"","Raiun",0.557,0.127,1,-21.384,1,0.0703,0.956,0.922,0.11,0.393,95.129,4
